Diretoria Regional,Percentual de alunos extremamente pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Percentual de famílias extremamente pobres que receberam o benefício,Percentual de famílias pobres que receberam o benefício
Almenara,91.06025039123631,32.12435233160622,90.31211998378598,30.45212765957447
Araçuaí,93.76957883745214,38.12615955473098,92.87380150298004,36.5310821181888
Curvelo,94.08239700374533,38.95558223289316,93.6245872491745,35.725938009787924
Diamantina,91.67242570836213,43.60695758315533,90.99050929020184,40.75546719681908
Divinópolis,90.70934082472158,21.380072635401863,90.3721123253562,19.88776655443322
Governador Valadares,89.10351659237247,29.005881509109166,88.4685815936797,26.198416006669444
Ituiutaba,87.11607499002793,24.11674347158218,86.78459937565036,22.758620689655174
Juiz de Fora,90.92791637905532,23.49259336532443,90.27944912421447,21.239988134084843
Metropolitana,94.838148052618,31.11121610129453,94.41250608057312,28.990641711229948
Montes Claros,92.54151927573595,39.7195869364453,91.54776674937966,36.5692007797271
Muriaé,82.62959659034593,19.727709556860653,81.81568277094358,18.09937653504629
Paracatu,87.06615667941635,27.017984107068173,86.0576923076923,23.69551872314303
Passos,92.17726396917149,41.61473855323761,91.50134048257372,38.382236320380656
Patos de Minas,93.3046683046683,22.998729351969505,93.22364751812604,21.342592592592595
Poços de Caldas,84.67304625199363,18.7797147385103,83.75513735669479,17.102007148748967
Salinas,95.42009884678748,45.763626551538046,94.77655252466629,42.86919831223629
São João Del Rei,92.56407934063944,25.785259700266888,92.2671353251318,23.752201996476803
Teófilo Otoni,90.8290451686678,33.49853570624015,89.47462900909527,30.930587337909994
Timóteo,92.32069339111592,26.75317866037489,91.83960604994724,25.317621064260727
Uberaba,93.06987399770905,33.8097028958255,92.9510783798001,30.30794165316045
Uberlândia,93.96451666390317,26.242147344374644,93.22232645403376,24.617294166321887
Varginha,91.9437444110235,25.117041198501873,91.25357756153406,23.436449226630803
